"ACCOUNTID";"CODE";"CODE_MA";"IS_CHURN";"CHURN_DATE"
"1734589";"SA880012865";"MA530007562";"0";""
"1734633";"SA240000548";"MA250017215";"0";""
"1734635";"SA530013153";"MA960016067";"1";"28.02.2022"
"1734672";"SA750003535";"MA440014765";"0";""
"1734686";"SA850018426";"MA280012912";"0";""
"1734768";"SA610007368";"MA840010435";"0";""
"1734872";"SA780005016";"MA900021804";"1";"30.09.2020"
"1734908";"SA910018979";"MA130016130";"1";"31.01.2021"
"1734940";"SA720017712";"MA200003926";"0";""
"1734997";"SA180001438";"MA200009982";"1";"31.07.2022"
"1735106";"SA930012834";"MA480021257";"0";""
"1735142";"SA440014281";"MA960003363";"0";""
"1735178";"SA790019822";"MA700005969";"0";""
"1735195";"SA890020945";"MA330009897";"0";""
"1735218";"SA370013971";"MA530000187";"0";""
"1735242";"SA540006533";"MA680012268";"0";""
"1735308";"SA810007679";"MA120007970";"1";"31.10.2020"
"1735390";"SA300017033";"MA220000398";"0";""
"1735435";"SA660002133";"MA300021645";"1";"31.07.2022"
"1735600";"SA980013879";"MA150019516";"0";""
"1735604";"SA780001081";"MA620001129";"0";""
"1735779";"SA150011184";"MA900003122";"0";""
"1735865";"SA190006560";"MA870017751";"0";""
"1735927";"SA960022236";"MA760005603";"1";"31.10.2020"
"1735933";"SA170008594";"MA810000390";"0";""
"1735949";"SA390001380";"MA100004328";"1";"31.07.2022"
"1736371";"SA260017242";"MA380014530";"0";""
"1736597";"SA510006168";"MA800003590";"0";""
"1736737";"SA180016417";"MA750021969";"1";"31.08.2020"
"1736871";"SA700013840";"MA570000072";"0";""
"1737116";"SA180008934";"MA240000731";"0";""
"1737157";"SA870012051";"MA440017709";"0";""
"1737234";"SA300016529";"MA900002704";"1";"31.01.2021"
"1737280";"SA410018806";"MA810015956";"0";""
"1737350";"SA470018423";"MA670007394";"0";""
"1737359";"SA960001934";"MA410015899";"0";""
"1737505";"SA980018819";"MA910021527";"0";""
"1737533";"SA820007635";"MA620013360";"1";"31.08.2021"
"1737811";"SA300011229";"MA900014245";"0";""
"1737851";"SA940009970";"MA400012980";"0";""
"1737869";"SA610009950";"MA730001787";"0";""
"1737909";"SA840020987";"MA290004337";"0";""
"1738014";"SA310013499";"MA390016379";"1";"31.05.2021"
"1738014";"SA310013499";"MA390016379";"1";"30.06.2022"
"1738073";"SA830009705";"MA500020953";"0";""
"1738074";"SA360016844";"MA560019624";"0";""
"1738156";"SA240016122";"MA170016120";"1";"31.05.2021"
"1738263";"SA890006267";"MA960014743";"0";""
"1738324";"SA420021929";"MA970013539";"1";"30.09.2022"
"1738480";"SA970015902";"MA270015901";"0";""
"1738531";"SA890007644";"MA350016099";"0";""
"1738568";"SA410012360";"MA560020796";"0";""
"1738630";"SA530016034";"MA720002188";"0";""
"1738670";"SA480008031";"MA970011052";"1";"28.02.2021"
"1738687";"SA290020389";"MA690006571";"1";"31.08.2022"
"1738693";"SA430015394";"MA590012735";"0";""
"1738714";"SA490001451";"MA880004412";"0";""
"1738806";"SA280005730";"MA970016916";"0";""
"1738968";"SA280003431";"MA920003609";"0";""
